"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"境外输入",7,9,0,2,0,0
"唐山",2,58,0,55,1,130200
"沧州",0,48,0,45,3,130900
"张家口",0,41,0,41,0,130700
"保定",0,32,0,32,0,130600
"邯郸",0,32,0,32,0,130400
"廊坊",0,30,0,30,0,131000
"石家庄",0,29,0,29,0,130100
"邢台",0,23,0,22,1,130500
"秦皇岛",0,10,0,9,1,130300
"衡水",0,8,0,8,0,131100
"承德",0,7,0,7,0,130800
