"cityName","currentConfirmedCount","confirmedCount","suspectedCount","curedCount","deadCount","locationId"
"境外输入人员",49,49,0,0,0,0
"鄂尔多斯",0,11,0,11,0,150600
"包头",0,11,0,11,0,150200
"赤峰",0,9,0,9,0,150400
"锡林郭勒盟",0,9,0,9,0,152500
"巴彦淖尔",0,8,0,7,1,150800
"呼和浩特",0,7,0,7,0,150100
"通辽",0,7,0,7,0,150500
"呼伦贝尔",0,7,0,7,0,150700
"乌兰察布",0,3,0,3,0,150900
"乌海市",0,2,0,2,0,150300
"兴安盟",0,1,0,1,0,152200
